regAddr,coordinate
鹤山市沙坪镇莺朗工业区318号,"112.970634,22.768187"
高州市南新二区9号,"110.85342,21.909872"
顺德区容桂街道振华路宏雅苑N座203室,"113.25030000000004,22.840670000000046"
阳江市阳东区东城镇工业大道483号(北),"112.02419,21.870394"
阳江市阳东区碧桂园湖滨商业街A幢201号商铺,"112.00812,21.873028"
阳江市江城区漠江路新江花园新风楼商铺102号,"111.961784,21.860722"
阳江市江城区康泰路518号富顺居1幢1层1号铺、2层24号铺、3层25号铺（住所申报）,"111.97845,21.884645"
茂名市文光二街88号大院6、7号首层13号房,"110.92974,21.64916"
茂名市双山四路9号大院8号楼,"110.925514,21.654991"
肇庆市高要区南岸连江路下岸村商铺第10卡（即南岸中心小学斜对面）,"112.46323,23.028507"
肇庆市端州区127区端州一路东侧（华生加州时代东侧200米）三楼C21卡（一址多照，仅限办公用途）,"112.51803,23.103668"
肇庆市端州区太和北路12号B1区4幢202房之五,"112.43211,23.066233"
肇庆市端州区信安路西侧83区敏捷广场一期1座1901-1907室,"112.50116,23.071468"
肇庆市黄岗镇塘岗村（南侧拆迁回迁小区）何东兰宅402室,"112.00039,24.00929"
珠海市高新区唐家湾镇金凤路6号北京理工大学珠海学院学生活动中心4层413-75,"113.55024,22.363873"
珠海市高新区唐家湾镇软件园路1号教学区2#四层417-420室,"113.57531,22.372225"
珠海市高新区唐家湾镇哈工大路1号4栋A107,"113.56778000000008,22.276940000000025"
珠海市高新区唐家湾镇软件园路1号生活区BEE+众创空间222室M区,"113.57531,22.372225"
珠海市香洲区狮山路417号2栋802室,"113.56798,22.280836"
珠海市香洲区翠微东路220号商铺之二,"113.54233,22.252956"
珠海市香洲区吉大园林路43号514室,"113.58104,22.251516"
珠海市香洲区迎宾北路1422号3栋1单元703房,"113.55065,22.264944"
珠海市香洲区石花西路167号西九大厦1202之五,"113.56072,22.238476"
珠海市香洲区吉柠80路青竹花园36栋401-1房,"113.55437,22.261072"
珠海市金湾区红旗镇虹晖二路188号5栋2单元504房,"113.32692,22.119402"
珠海市金湾区三灶镇映月路68号3栋51号商铺,"113.35304,22.04983"
珠海市横琴新区宝华路6号105室—39999（集中办公区）,"113.56778000000008,22.276940000000025"
珠海市横琴新区宝华路6号105室-67554（集中办公区）,"113.54828,22.113207"
珠海市横琴新区宝华路6号105室-53614（集中办公区）,"113.54828,22.113207"
珠海市横琴新区宝华路6号105室-66775（集中办公区）,"113.54828,22.113207"
珠海市横琴新区宝华路6号105室-66370(集中办公区),"113.54828,22.113207"
珠海市横琴新区宝华路6号105室-14294,"113.54828,22.113207"
珠海市横琴新区环岛东路1889号横琴创意谷1栋101室-163（集中办公区）,"113.54695,22.099361"
珠海市横琴新区宝华路6号105室-15359,"113.56778000000008,22.276940000000025"
珠海市横琴新区宝华路6号105室-12038,"113.54828,22.113207"
珠海市横琴新区宝华路6号105室-67215(集中办公区),"113.54828,22.113207"
珠海市斗门区井岸镇新堂村三巷39号,"113.28152,22.207705"
珠海市斗门区井岸镇井湾路448号201,"113.29815,22.201818"
珠海市唐家镇金鼎金沙路139号2号宿舍楼二楼,"113.531654,22.40366"
珠海市拱北新市花园新村19栋702房,"113.55165,22.223467"
珠海市梅华路三拓大厦５０３房,"113.56047,22.284286"
珠海市吉大九洲大道东1088号冷库,"113.589386,22.247652"
珠海市香洲南华东路１６号４０１,"113.57196,22.290636"
珠海市珠澳跨境工业区珠海园区第3-1A地块厂房第5层512室,"113.50885,22.165546"
珠海市南屏科技工业园屏东四路13号跃华电子有限公司一期厂房106室,"113.483925,22.224009"
珠海市红山路230科技中心七楼,"113.54255,22.266756"
珠海市香洲沿河西路2号南坑花园底层23号车库,"113.562355,22.2802"
珠海市南屏北山村东区南二巷73号,"113.56778000000008,22.276940000000025"
珠海市前山镇东坑村新六街83号301房,"113.52174,22.301195"
珠海市昌盛路376号146栋2201房,"113.52939,22.211601"
潮州市枫溪区高厦工业区企业路8号综合楼401室,"116.5959,23.626461"
湛江市赤坎区体育北路2号御海湾9幢1层07号商铺,"110.38794,21.261328"
湛江市赤坎区海滨五路6号A2幢二层之二,"110.39632,21.259354"
湛江市开发区人民大道中70号之一第一层101室,"110.39072,21.238382"
清远市新城二号区设计院综合楼,"113.042465,23.69405"
清远市新城东九号区昌记村西一巷55号二楼,"113.05035,23.68117"
深圳市龙岗区平湖街道鹅公岭兴达路11号A区厂房二楼南边,"114.1586,22.673527"
深圳市龙岗区龙岗街道南联路73号铭泰商务中心608室,"114.263435,22.721933"
深圳市龙岗区南湾街道沙塘布社区沙塘北路31号1楼,"114.15834,22.61298"
深圳市龙岗区南湾街道布澜路58号钱江艺术中心二栋3F23-11,"114.13725,22.628267"
深圳市龙岗区坂田街道马安堂社区中兴路11号城市山海中心C栋504,"114.07634,22.623161"
深圳市龙岗区龙城街道黄阁坑社区华兴路26号天汇大厦603-604室,"114.21521,22.718113"
深圳市龙岗区横岗街道横岗镇红棉二路67号-3,"114.19887,22.650341"
深圳市龙岗区坪地街道高桥社区教育北路49号2栋308,"114.29743,22.785337"
深圳市龙岗区龙岗街道平南社区龙岗路11号庆丰大厦610,"114.27013,22.722364"
深圳市龙岗区吉华街道水径社区大坡头西区三巷5号303,"114.11038,22.609764"
深圳市龙岗区坂田街道坂田社区坳下一巷3号,"114.06268,22.63779"
深圳市龙岗区宝龙街道赤石岗同富路6-1号205房,"114.33541,22.679838"
深圳市龙岗区龙城街道尚景社区龙翔大道9009号珠江广场A1栋11F,"114.251526,22.724583"
深圳市龙岗区布吉街道百合酒店公寓D栋27/G单位,"114.121254,22.598068"
深圳市龙岗区龙城街道中心城9区尚景欣园（二期）三号楼商业151E,"114.25117,22.729315"
